name,sector,current price,current adx,current vortex,average success,average return,adx meets threshhold,vortex meets threshhold
AI,Healthcare,4.96999979,25.79020698,-0.346511777,0.540229885,0.000804589,,
TGT,Consumer Discretionary,104.0299988,30.82683057,-0.358493344,0.538461538,0.154154147,,
ABEV,Unkown,3.079999924,51.13599196,-0.365482154,0.545454545,0.000681812,,
KO,Consumer Staples,51.86000061,32.1044882,-0.378620805,0.585714286,0.066428593,,
STX,Information Technology,45.31000137,36.75613822,-0.381477715,0.578947368,0.017631681,,
AGN,Healthcare,185.4600067,25.6837593,-0.392796275,0.588235294,0.223627277,,
EW,Healthcare,191.0599976,26.34247116,-0.398019008,0.5,0.076029834,,
MSCI,Financial,257.8500061,29.62722654,-0.398448284,0.604395604,0.760329194,,
TJX,Consumer Discretionary,57.20000076,18.92618152,-0.401450159,0.615384615,0.014358961,,
PLAB,Unkown,12.15999985,20.27445685,-0.404738528,0.523809524,0.029206336,,
MSFT,Information Technology,150.6199951,36.8978781,-0.416910227,0.589473684,0.309157843,,
NOW,Information Technology,292.0899963,25.70419549,-0.420765423,0.635135135,0.726081023,,
LYB,Materials,59.61000061,32.13943289,-0.421225486,0.483870968,0.022096818,,
BIIB,Healthcare,297.1900024,28.96315518,-0.427876054,0.4,0.095333354,,
IFF,Materials,112.7200012,34.84421408,-0.431982044,0.525641026,0.105256399,,
HES,Energy,32.97999954,27.80663874,-0.43631216,0.484848485,-0.058788011,,
MCO,Financial,210.8500061,29.24356545,-0.43717628,0.648351648,0.623956198,,
TTOO,Unkown,0.537999988,13.00866916,-0.440051007,0.325,-0.036375001,,
STZ,Consumer Staples,164.2400055,31.34269764,-0.442992672,0.53968254,-0.063968477,,
APD,Materials,205.1499939,35.82398677,-0.451502772,0.587301587,0.312698122,,
NLOK,Information Technology,17.19000053,42.74812091,-0.453771898,0.55,-0.086500001,,
EXC,Utilities,41.90999985,37.71881096,-0.457628374,0.589041096,0.066438283,,
FMC,Materials,79.23999786,28.15890463,-0.459082291,0.552631579,0.130131671,,
AIV,Real Estate,47.18999863,31.75158329,-0.467268225,0.582278481,0.034936688,,
ALXN,Healthcare,86.41999817,33.75489231,-0.46738746,0.435483871,-0.040161256,,
MCD,Consumer Discretionary,186.8600006,31.94125503,-0.476543874,0.569444444,0.147222095,,
GM,Consumer Discretionary,24.69000053,25.28134822,-0.483493671,0.5,-0.023461635,,
DCIX,Unkown,0.479999989,28.36653044,-0.491379268,0.5,-0.004500002,,
MTG,Unkown,11.31000042,26.42708245,-0.495063491,0.597014925,0.0002985,,
DRE,Real Estate,31.15999985,39.69721294,-0.504120445,0.597560976,0.030731666,,
BSX,Healthcare,34.09000015,34.83547468,-0.504966305,0.581081081,0.067432455,,
UFAB,Unkown,2.859999895,27.41416543,-0.511453269,0.52238806,0.014179102,,
AMZN,Consumer Discretionary,1800.609985,30.21262594,-0.514296407,0.521126761,-1.107464858,,
AACG,Unkown,0.970000029,17.10882701,-0.523178745,0.423076923,-0.007307685,,
LDOS,Information Technology,97.52999878,29.16909429,-0.527113997,0.578313253,0.299638587,,
DOW,Materials,30.53000069,32.96095138,-0.532996113,0.560606061,0.011818106,,
XRX,Information Technology,27.5,29.93822557,-0.533608737,0.525423729,0.07491532,,
WMB,Energy,14.98999977,31.2938847,-0.547937331,0.490566038,-0.044717033,,
NKE,Consumer Discretionary,84.11000061,33.1152168,-0.549614929,0.56626506,0.050361449,,
KMI,Energy,16.10000038,32.53549306,-0.556217218,0.506666667,-0.001866659,,
DLAKY,Unkown,12.21000004,33.91605443,-0.565259917,0.492537313,-0.018358273,,
BKNG,Consumer Discretionary,1527.800049,39.37605412,-0.570114542,0.564516129,-0.464999291,,
OKE,Energy,38.09999847,23.69278617,-0.574415915,0.578947368,0.021710948,,
KSHB,Unkown,0.855000019,35.17397245,-0.574959644,0.476190476,-0.010952382,,
MA,Financial,262.0100098,34.20295927,-0.584614726,0.611764706,0.43223482,,
XEC,Energy,15.06999969,45.73284607,-0.592648916,0.53968254,0.076507871,,
GOOGL,Information Technology,1215.790039,36.93418083,-0.592660062,0.575757576,1.189899483,,
AYTU,Healthcare,0.349999994,14.57675668,-0.603174591,0.4,-0.007714283,,
SYF,Financial,25.02000046,34.23429828,-0.603257114,0.53125,-0.00390625,,
CNBS,Consumer Staples,8.81499958,31.90800532,-0.604941792,0.35,-0.061549997,,
CB,Financial,134.9700012,32.90969478,-0.605815038,0.532258065,0.150161251,,
HENC,Unkown,0.050000001,32.87359342,-0.605957417,0.575,0.00094375,,
FANG,Energy,26.87999916,42.82526478,-0.60940033,0.555555556,-0.017962986,,
PPL,Utilities,29.11000061,37.24037187,-0.611484651,0.582417582,0.041428555,,
CDNS,Information Technology,59.75,29.57204392,-0.613056734,0.602564103,0.017820407,,
JAX,Unkown,7.079999924,37.65668064,-0.638012928,0.45,0.005250025,,
LOW,Consumer Discretionary,94.22000122,29.53937297,-0.638929113,0.586206897,0.052068951,,
C,Financial,51.36999893,35.85015006,-0.643642809,0.482352941,0.004117719,,
NMM,Unkown,6.53000021,63.4563126,-0.644320319,0.466666667,-0.000444455,,
TLYS,Unkown,5.309999943,53.64314523,-0.647058612,0.458333333,-0.001249999,,
AES,Unkown,14.57999992,45.74778626,-0.651963849,0.61,0.040200005,,
EXPR,Unkown,2.609999895,29.78500522,-0.657205389,0.485294118,0.001617635,,
ADM,Consumer Staples,35.29999924,36.93031337,-0.665246149,0.539473684,0.035921047,,
NRG,Utilities,30.12999916,31.94550844,-0.666798296,0.578125,0.033124924,,
OGI,Unkown,1.769999981,20.31270261,-0.671669714,0.444444444,-0.016666671,,
NUE,Materials,34.72000122,32.90675548,-0.674145199,0.533333333,-0.019499906,,
SBUX,Consumer Discretionary,70.83000183,28.71170484,-0.680163192,0.549019608,0.021568448,,
CLNY,Unkown,3.390000105,29.38030822,-0.687500071,0.568627451,-0.003333325,,
CNXM,Unkown,8.340000153,43.95187516,-0.695796995,0.533333333,0.034916639,,
SRE,Utilities,127.7600021,40.53698423,-0.702945027,0.56626506,0.119036203,,
OXY,Energy,12.51000023,38.23418658,-0.704456572,0.56,-0.012400055,,
SSW,Unkown,8.520000458,58.73695665,-0.705617002,0.532258065,0.034677429,,
FSK,Unkown,4.690000057,41.45179301,-0.709541619,0.594594595,-0.000540546,,
HST,Real Estate,12.06999969,38.33377421,-0.711382136,0.533333333,-0.006499958,,
DD,Materials,35.15000153,49.41687482,-0.728974788,0.447368421,-0.122894789,,
AIZ,Financial,109.0500031,31.75243382,-0.739713992,0.530120482,0.0013254,,
EVRI,Unkown,7.28000021,37.29336681,-0.746921039,0.680555556,0.049444437,,
BAC,Financial,21.93000031,38.22379659,-0.759391984,0.573170732,0.034390287,,
HFC,Energy,24.10000038,56.01512102,-0.762087688,0.558139535,0.077906941,,
BAFYY,Unkown,5.579999924,28.071617,-0.771930072,0.5,0.010606058,,
CGC,Consumer Staples,13.22000027,24.45718913,-0.777147674,0.509433962,-0.050188712,,
EMN,Materials,50.06999969,31.31129583,-0.78806926,0.538461538,-0.038615417,,
BCS,Unkown,6.019999981,37.01838007,-0.840679569,0.526315789,0.0081579,,
MS,Financial,37.5,41.14246559,-0.860102082,0.586206897,0.046206858,,
ELVT,Unkown,2.869999886,42.04751642,-0.864478221,0.543859649,-0.010526322,,
UNM,Financial,17.13999939,32.01981363,-0.867233936,0.553846154,-0.043692281,,
HP,Energy,18.51000023,39.53539103,-0.867256921,0.552238806,0.027761203,,
VNO,Real Estate,47.02999878,50.08096996,-0.876193003,0.487179487,0.039487154,,
CMA,Financial,35.99000168,46.03069571,-0.877212598,0.516129032,-0.001774203,,
BRFS,Unkown,4.239999771,48.69167311,-0.884462166,0.425,-0.019749999,,
KOS,Unkown,0.800000012,51.91761844,-1.127232308,0.588235294,0.029215682,,
