name,sector,current price,current adx,current vortex,average success,average return,adx meets threshhold,vortex meets threshhold
INO,Healthcare,9.829999924,38.5011677,0.576691218,0.52,0.055599998,,
SPEX,Healthcare,3.220000029,36.75387352,0.56081709,0.558823529,0.094705883,,
VXRT,Healthcare,2.75999999,51.73405519,0.470514442,0.595744681,0.039787234,,
IFMK,Unkown,0.753000021,29.89080847,0.456010741,0.393939394,-0.000636361,,
COG,Energy,16.88999939,25.74330017,0.386704758,0.529411765,0.064705933,,
AREC,Unkown,0.879999995,31.53274782,0.36498976,0.509803922,0.003215687,,
HTBX,Healthcare,0.860000014,46.37898931,0.350746259,0.581395349,0.009302325,,
CODX,Unkown,9.829999924,59.98566886,0.305371935,0.47826087,0.032391299,,
NEM,Materials,47.77999878,26.12649728,0.272797889,0.444444444,-0.436665429,,
GILD,Healthcare,73.51999664,22.86835749,0.252688093,0.857142857,1.290000371,,
AHPI,Healthcare,13.28999996,53.44973509,0.250563359,0,-0.084999979,,
TOMZ,Unkown,0.610000014,42.70166121,0.233128828,0.64516129,-0.003870968,,
IBIO,Healthcare,1.899999976,46.96630645,0.216584135,0.833333333,0.166666659,,
VIPS,Unkown,17.12999916,29.43648302,0.146500904,0.553571429,0.094464302,,
OPGN,Healthcare,2.680000067,45.10316364,0.142361493,0.533333333,0.040600014,,
DYNT,Healthcare,1.74000001,49.67467302,0.126865674,0.590909091,-0.006363636,,
APT,Unkown,11.68000031,45.25899149,0.102530272,0.58974359,-0.110512831,,
NOVN,Unkown,0.50999999,30.11133191,0.094594558,0.444444444,-0.086370378,,
CORV,Healthcare,0.379999995,43.00519368,0.091503282,0.529411765,0.002058819,,
TYHT,Unkown,0.499000013,11.51853022,0.006688976,0.529411765,0.005911762,,
MFH,Unkown,0.920000017,21.68245921,0.0063492,0,0,,
STKL,Unkown,2.480000019,14.50119376,-0.016172429,0.50877193,0.011754381,,
TGNA,Unkown,17.89999962,24.82266459,-0.026830105,0.567164179,0.001194043,,
ITP,Unkown,0.75,20.07552671,-0.055214669,0.625,0.010208336,,
DRAD,Healthcare,5.269999981,29.59711096,-0.077132458,0.341463415,0.033902459,,
TAOP,Unkown,0.519999981,15.93473331,-0.081081101,0.568627451,0.002156864,,
SMSI,Unkown,5.230000019,19.62046717,-0.086601343,0.62745098,0.020980377,,
KOPN,Unkown,0.319999993,36.9034362,-0.102941195,0.65,0.006,,
SPOM,Unkown,0.145500004,40.21667135,-0.117981691,0.66,-0.003924,,
EMAN,Unkown,0.409999996,25.69929403,-0.124999961,0.488372093,-0.001395348,,
AQMS,Unkown,0.689999998,19.78831768,-0.127620771,0.435897436,-0.001794869,,
PSA,Real Estate,223.5599976,17.1537743,-0.132252213,0.693877551,0.381020371,,
CPYYY,Unkown,2.980000019,33.47346848,-0.139622773,0.559139785,-0.000752687,,
ZNGA,Unkown,6.53000021,20.21982709,-0.145584789,0.542168675,-0.005180727,,
XEL,Utilities,67.98999786,30.93195544,-0.146362126,0.608695652,0.044637763,,
ED,Utilities,88.66000366,32.74056432,-0.151152976,0.606557377,0.048524575,,
PNW,Utilities,95.37000275,37.26130335,-0.16082158,0.628571429,0.154571424,,
FSM,Unkown,2.960000038,21.301184,-0.163978476,0.538461538,0.005,,
HSY,Consumer Staples,151,27.47738187,-0.167697648,0.485294118,0.047352959,,
PLUG,Unkown,3.930000067,23.65948421,-0.172330134,0.529411765,0.005294121,,
COST,Consumer Staples,301.980011,22.44291508,-0.188773044,0.571428571,0.225143433,,
SBAC,Real Estate,264.7099915,32.71026296,-0.194784,0.541666667,0.628472434,,
MAA,Real Estate,134.3000031,37.45035743,-0.197042461,0.6,0.235882568,,
DLR,Real Estate,120.6699982,23.62252581,-0.198374069,0.609756098,0.008170616,,
PFE,Healthcare,33.75999832,28.61943987,-0.232725744,0.478873239,0.005915467,,
DTEGY,Unkown,15.38000011,16.8190503,-0.238372139,0.529411765,-0.017647089,,
JOB,Unkown,0.349999994,10.7664878,-0.246753293,0.581395349,0.001627908,,
REKR,Unkown,3.599999905,22.39165579,-0.246844859,0.457142857,0.021400002,,
RMD,Healthcare,154.5,27.41882002,-0.249626317,0.635294118,0.216235172,,
AEP,Utilities,94.95999908,30.84452793,-0.25349908,0.632911392,0.101139213,,
SO,Utilities,62.15999985,30.06097525,-0.257971878,0.644736842,0.086842186,,
EQIX,Real Estate,574.0599976,19.88054951,-0.258981259,0.535714286,0.098096575,,
AMT,Real Estate,231.8600006,21.2744602,-0.263954625,0.602564103,0.437820435,,
SDPI,Unkown,0.529999971,26.12693615,-0.267605639,0.595238095,-0.001190476,,
SEEL,Unkown,0.870000005,17.75986585,-0.28289465,0.472727273,0.006181818,,
HD,Consumer Discretionary,210.4600067,22.2506636,-0.287411823,0.58974359,0.195769872,,
JNJ,Healthcare,136.4400024,31.57977043,-0.295545136,0.597701149,0.143793216,,
AMD,Information Technology,43.27000046,23.56127409,-0.301264414,0.588888889,0.156555536,,
FRBK,Unkown,2.720000029,38.94439268,-0.301435429,0.547619048,-0.010952376,,
ZTS,Healthcare,129.7200012,22.30466196,-0.303725985,0.594594595,0.138243186,,
RHS,Consumer Staples,133.6799927,31.65499084,-0.304393403,0.585858586,0.022929336,,
SHW,Materials,527.1599731,19.10201211,-0.306610311,0.511627907,0.040232104,,
RTW,Unkown,0.25999999,24.1632504,-0.314606771,0.531914894,-0.004680849,,
ECL,Materials,183.8399963,29.56102244,-0.315712453,0.566037736,0.069433824,,
HRL,Consumer Staples,43.40999985,34.47507175,-0.316219819,0.592105263,0.081184136,,
EROS,Unkown,1.950000048,28.74677512,-0.317948633,0.52173913,0.007101451,,
AAPL,Information Technology,266.1700134,29.15215915,-0.32340876,0.626168224,0.569252228,,
RNWK,Unkown,0.949999988,38.92102393,-0.335714226,0.583333333,-0.001249999,,
SUPV,Unkown,2.079999924,20.29629026,-0.337483655,0.490196078,0.001764704,,
PGR,Financial,75.29000092,25.97543329,-0.343180539,0.595238095,0.141190483,,
